participantID,meetID,teamID
H@HH@H2021,HH@H2021,H
HH@HH@H2021,HH@H2021,HH
PL@HH@PL2021,HH@PL2021,PL
HH@HH@PL2021,HH@PL2021,HH
PAR@IC@PAR2021,IC@PAR2021,PAR
IC@IC@PAR2021,IC@PAR2021,IC
LB@H@LB2021,H@LB2021,LB
H@H@LB2021,H@LB2021,H
PL@D15RC2021,D15RC2021,PL
LB@D15RC2021,D15RC2021,LB
PAR@D15RC2021,D15RC2021,PAR
HH@D15RC2021,D15RC2021,HH
H@D15RC2021,D15RC2021,H
IC@D15RC2021,D15RC2021,IC
H@PL@H2021,PL@H2021,H
PL@PL@H2021,PL@H2021,PL
IC@HH@IC2021,HH@IC2021,IC
HH@HH@IC2021,HH@IC2021,HH
LB@PAR@LB2021,PAR@LB2021,LB
PAR@PAR@LB2021,PAR@LB2021,PAR
PL@IC@PL2021,IC@PL2021,PL
IC@IC@PL2021,IC@PL2021,IC
HH@LB@HH2021,LB@HH2021,HH
LB@LB@HH2021,LB@HH2021,LB
PAR@H@PAR2021,H@PAR2021,PAR
H@H@PAR2021,H@PAR2021,H
BKS@CSC@BKS2021,CSC@BKS2021,BKS
CSC@CSC@BKS2021,CSC@BKS2021,CSC
PV@NF@PV2021,NF@PV2021,PV
NF@NF@PV2021,NF@PV2021,NF
LBR@LP@LBR2021,LP@LBR2021,LBR
LP@LP@LBR2021,LP@LBR2021,LP
LP@BKS@LP2021,BKS@LP2021,LP
BKS@BKS@LP2021,BKS@LP2021,BKS
CSC@PV@CSC2021,PV@CSC2021,CSC
PV@PV@CSC2021,PV@CSC2021,PV
LBR@NF@LBR2021,NF@LBR2021,LBR
NF@NF@LBR2021,NF@LBR2021,NF
BKS@LBR@BKS2021,LBR@BKS2021,BKS
LBR@LBR@BKS2021,LBR@BKS2021,LBR
PV@LP@PV2021,LP@PV2021,PV
LP@LP@PV2021,LP@PV2021,LP
NF@CSC@NF2021,CSC@NF2021,NF
CSC@CSC@NF2021,CSC@NF2021,CSC
LP@D16RC2021,D16RC2021,LP
BKS@D16RC2021,D16RC2021,BKS
LBR@D16RC2021,D16RC2021,LBR
CSC@D16RC2021,D16RC2021,CSC
NF@D16RC2021,D16RC2021,NF
PV@D16RC2021,D16RC2021,PV
NF@BKS@NF2021,BKS@NF2021,NF
BKS@BKS@NF2021,BKS@NF2021,BKS
LBR@PV@LBR2021,PV@LBR2021,LBR
PV@PV@LBR2021,PV@LBR2021,PV
LP@CSC@LP2021,CSC@LP2021,LP
CSC@CSC@LP2021,CSC@LP2021,CSC
PV@BKS@PV2021,BKS@PV2021,PV
BKS@BKS@PV2021,BKS@PV2021,BKS
CSC@LBR@CSC2021,LBR@CSC2021,CSC
LBR@LBR@CSC2021,LBR@CSC2021,LBR
LP@NF@LP2021,NF@LP2021,LP
NF@NF@LP2021,NF@LP2021,NF
BC@PW@BC2021,PW@BC2021,BC
PW@PW@BC2021,PW@BC2021,PW
S@V@S2021,V@S2021,S
V@V@S2021,V@S2021,V
EP@NS@EP2021,NS@EP2021,EP
NS@NS@EP2021,NS@EP2021,NS
EP@BC@EP2021,BC@EP2021,EP
BC@BC@EP2021,BC@EP2021,BC
PW@V@PW2021,V@PW2021,PW
V@V@PW2021,V@PW2021,V
NS@S@NS2021,S@NS2021,NS
S@S@NS2021,S@NS2021,S
NS@BC@NS2021,BC@NS2021,NS
BC@BC@NS2021,BC@NS2021,BC
V@EP@V2021,EP@V2021,V
EP@EP@V2021,EP@V2021,EP
S@PW@S2021,PW@S2021,S
PW@PW@S2021,PW@S2021,PW
V@D17RC2021,D17RC2021,V
BC@D17RC2021,D17RC2021,BC
NS@D17RC2021,D17RC2021,NS
S@D17RC2021,D17RC2021,S
PW@D17RC2021,D17RC2021,PW
EP@D17RC2021,D17RC2021,EP
BC@S@BC2021,S@BC2021,BC
S@S@BC2021,S@BC2021,S
V@NS@V2021,NS@V2021,V
NS@NS@V2021,NS@V2021,NS
PW@EP@PW2021,EP@PW2021,PW
EP@EP@PW2021,EP@PW2021,EP
V@BC@V2021,BC@V2021,V
BC@BC@V2021,BC@V2021,BC
NS@PW@NS2021,PW@NS2021,NS
PW@PW@NS2021,PW@NS2021,PW
S@EP@S2021,EP@S2021,S
EP@EP@S2021,EP@S2021,EP
