teamID,name,abbr,location
KR2024,Kings Ridge,KR,"4850 Gainsborough Drive Fairfax, VA 22032"
G2024,Greenbriar,G,"13001 Point Pleasant Drive Fairfax, VA 22033"
THA2024,Truro,THA,"4146 Elizabeth Lane Annandale, VA 22003"
DV2024,Daventry,DV,"7721 Painted Daisy Drive Springfield, va 22152"
MW2024,Mosby Woods,MW,"3136 Fair Woods Parkway (previously Plantation)Fairfax, VA 22030"
BF2024,Brookfield,BF,"13615 Pennsboro Drive Chantilly, VA 20151"
SV2024,Shouse Village,SV,"1432 Towlston Road Vienna, VA 22182"
RV2024,Rolling Valley,RV,"7019 Ashbury Dr Springfield, VA 22152"
SRA2024,Stratford,SRA,"2300 Brintizer way Alexandria, VA 22308"
PT2024,Poplar Tree,PT,"13516 Point Pleasant Drive Chantilly, VA 20151"
GF2024,Great Falls,GF,"761 Walker Road Great Falls, VA 22066"
RF2024,Rolling Forest,RF,"7011 Flax Street Springfield, VA 22152"
