resultID,meetEventID,swimmerID,time,place,points,powerIndex
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_25_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,48.7,6,0.0,310.86
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,32.73,1,5.0,802.07
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,35.82,2,3.0,611.89
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,37.32,3,1.0,541.03
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,40.78,4,0.0,414.67
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,41.76,5,0.0,386.16
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_27_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,45.51,6,0.0,298.35
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,30.75,1,5.0,720.73
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,30.84,2,3.0,714.44
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,32.33,3,1.0,620.14
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,35.03,4,0.0,487.52
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,37.52,5,0.0,396.75
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_29_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,38.59,6,0.0,364.66
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,29.19,1,5.0,171.26
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,30.03,2,3.0,157.28
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,34.69,3,1.0,102.03
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_31_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,34.83,4,0.0,100.81
