WC@L202152,WC@L2021,52,Girls,Age,200,Meters,Free,False
WC@L202144,WC@L2021,44,Girls,9-10,100,Meters,Medley,False
WC@L202146,WC@L2021,46,Girls,11-12,100,Meters,Medley,False
WC@L202148,WC@L2021,48,Girls,13-14,100,Meters,Medley,False
WC@L202150,WC@L2021,50,Girls,15-18,200,Meters,Medley,False
HSC@CP20211,HSC@CP2021,1,Boys,8&U,25,Meters,Free,True
HSC@CP20213,HSC@CP2021,3,Boys,9-10,50,Meters,Free,True
HSC@CP20215,HSC@CP2021,5,Boys,11-12,50,Meters,Free,True
HSC@CP20217,HSC@CP2021,7,Boys,13-14,50,Meters,Free,True
HSC@CP20219,HSC@CP2021,9,Boys,15-18,50,Meters,Free,True
HSC@CP202111,HSC@CP2021,11,Boys,8&U,25,Meters,Back,True
HSC@CP202113,HSC@CP2021,13,Boys,9-10,50,Meters,Back,True
HSC@CP202115,HSC@CP2021,15,Boys,11-12,50,Meters,Back,True
HSC@CP202117,HSC@CP2021,17,Boys,13-14,50,Meters,Back,True
HSC@CP202119,HSC@CP2021,19,Boys,15-18,50,Meters,Back,True
HSC@CP202121,HSC@CP2021,21,Boys,8&U,25,Meters,Breast,True
HSC@CP202123,HSC@CP2021,23,Boys,9-10,50,Meters,Breast,True
HSC@CP202125,HSC@CP2021,25,Boys,11-12,50,Meters,Breast,True
HSC@CP202127,HSC@CP2021,27,Boys,13-14,50,Meters,Breast,True
HSC@CP202129,HSC@CP2021,29,Boys,15-18,50,Meters,Breast,True
HSC@CP202131,HSC@CP2021,31,Boys,8&U,25,Meters,Fly,True
HSC@CP202133,HSC@CP2021,33,Boys,9-10,25,Meters,Fly,True
HSC@CP202135,HSC@CP2021,35,Boys,11-12,50,Meters,Fly,True
HSC@CP202137,HSC@CP2021,37,Boys,13-14,50,Meters,Fly,True
HSC@CP202139,HSC@CP2021,39,Boys,15-18,50,Meters,Fly,True
HSC@CP202141,HSC@CP2021,41,Boys,8&U,100,Meters,Free,False
HSC@CP202151,HSC@CP2021,51,Boys,Age,200,Meters,Free,False
HSC@CP202143,HSC@CP2021,43,Boys,9-10,100,Meters,Medley,False
HSC@CP202145,HSC@CP2021,45,Boys,11-12,100,Meters,Medley,False
HSC@CP202147,HSC@CP2021,47,Boys,13-14,100,Meters,Medley,False
HSC@CP202149,HSC@CP2021,49,Boys,15-18,200,Meters,Medley,False
HSC@CP20212,HSC@CP2021,2,Girls,8&U,25,Meters,Free,True
HSC@CP20214,HSC@CP2021,4,Girls,9-10,50,Meters,Free,True
HSC@CP20216,HSC@CP2021,6,Girls,11-12,50,Meters,Free,True
HSC@CP20218,HSC@CP2021,8,Girls,13-14,50,Meters,Free,True
HSC@CP202110,HSC@CP2021,10,Girls,15-18,50,Meters,Free,True
HSC@CP202112,HSC@CP2021,12,Girls,8&U,25,Meters,Back,True
HSC@CP202114,HSC@CP2021,14,Girls,9-10,50,Meters,Back,True
HSC@CP202116,HSC@CP2021,16,Girls,11-12,50,Meters,Back,True
HSC@CP202118,HSC@CP2021,18,Girls,13-14,50,Meters,Back,True
HSC@CP202120,HSC@CP2021,20,Girls,15-18,50,Meters,Back,True
HSC@CP202122,HSC@CP2021,22,Girls,8&U,25,Meters,Breast,True
HSC@CP202124,HSC@CP2021,24,Girls,9-10,50,Meters,Breast,True
HSC@CP202126,HSC@CP2021,26,Girls,11-12,50,Meters,Breast,True
HSC@CP202128,HSC@CP2021,28,Girls,13-14,50,Meters,Breast,True
HSC@CP202130,HSC@CP2021,30,Girls,15-18,50,Meters,Breast,True
HSC@CP202132,HSC@CP2021,32,Girls,8&U,25,Meters,Fly,True
HSC@CP202134,HSC@CP2021,34,Girls,9-10,25,Meters,Fly,True
HSC@CP202136,HSC@CP2021,36,Girls,11-12,50,Meters,Fly,True
HSC@CP202138,HSC@CP2021,38,Girls,13-14,50,Meters,Fly,True
HSC@CP202140,HSC@CP2021,40,Girls,15-18,50,Meters,Fly,True
HSC@CP202142,HSC@CP2021,42,Girls,8&U,100,Meters,Free,False
HSC@CP202152,HSC@CP2021,52,Girls,Age,200,Meters,Free,False
HSC@CP202144,HSC@CP2021,44,Girls,9-10,100,Meters,Medley,False
HSC@CP202146,HSC@CP2021,46,Girls,11-12,100,Meters,Medley,False
HSC@CP202148,HSC@CP2021,48,Girls,13-14,100,Meters,Medley,False
HSC@CP202150,HSC@CP2021,50,Girls,15-18,200,Meters,Medley,False
ML@HSC20211,ML@HSC2021,1,Boys,8&U,25,Meters,Free,True
ML@HSC20213,ML@HSC2021,3,Boys,9-10,50,Meters,Free,True
ML@HSC20215,ML@HSC2021,5,Boys,11-12,50,Meters,Free,True
ML@HSC20217,ML@HSC2021,7,Boys,13-14,50,Meters,Free,True
ML@HSC20219,ML@HSC2021,9,Boys,15-18,50,Meters,Free,True
ML@HSC202111,ML@HSC2021,11,Boys,8&U,25,Meters,Back,True
ML@HSC202113,ML@HSC2021,13,Boys,9-10,50,Meters,Back,True
ML@HSC202115,ML@HSC2021,15,Boys,11-12,50,Meters,Back,True
ML@HSC202117,ML@HSC2021,17,Boys,13-14,50,Meters,Back,True
ML@HSC202119,ML@HSC2021,19,Boys,15-18,50,Meters,Back,True
ML@HSC202121,ML@HSC2021,21,Boys,8&U,25,Meters,Breast,True
ML@HSC202123,ML@HSC2021,23,Boys,9-10,50,Meters,Breast,True
ML@HSC202125,ML@HSC2021,25,Boys,11-12,50,Meters,Breast,True
ML@HSC202127,ML@HSC2021,27,Boys,13-14,50,Meters,Breast,True
ML@HSC202129,ML@HSC2021,29,Boys,15-18,50,Meters,Breast,True
ML@HSC202131,ML@HSC2021,31,Boys,8&U,25,Meters,Fly,True
ML@HSC202133,ML@HSC2021,33,Boys,9-10,25,Meters,Fly,True
ML@HSC202135,ML@HSC2021,35,Boys,11-12,50,Meters,Fly,True
ML@HSC202137,ML@HSC2021,37,Boys,13-14,50,Meters,Fly,True
ML@HSC202139,ML@HSC2021,39,Boys,15-18,50,Meters,Fly,True
ML@HSC202141,ML@HSC2021,41,Boys,8&U,100,Meters,Free,False
ML@HSC202151,ML@HSC2021,51,Boys,Age,200,Meters,Free,False
ML@HSC202143,ML@HSC2021,43,Boys,9-10,100,Meters,Medley,False
ML@HSC202145,ML@HSC2021,45,Boys,11-12,100,Meters,Medley,False
ML@HSC202147,ML@HSC2021,47,Boys,13-14,100,Meters,Medley,False
ML@HSC202149,ML@HSC2021,49,Boys,15-18,200,Meters,Medley,False
ML@HSC20212,ML@HSC2021,2,Girls,8&U,25,Meters,Free,True
ML@HSC20214,ML@HSC2021,4,Girls,9-10,50,Meters,Free,True
ML@HSC20216,ML@HSC2021,6,Girls,11-12,50,Meters,Free,True
ML@HSC20218,ML@HSC2021,8,Girls,13-14,50,Meters,Free,True
ML@HSC202110,ML@HSC2021,10,Girls,15-18,50,Meters,Free,True
ML@HSC202112,ML@HSC2021,12,Girls,8&U,25,Meters,Back,True
ML@HSC202114,ML@HSC2021,14,Girls,9-10,50,Meters,Back,True
ML@HSC202116,ML@HSC2021,16,Girls,11-12,50,Meters,Back,True
ML@HSC202118,ML@HSC2021,18,Girls,13-14,50,Meters,Back,True
ML@HSC202120,ML@HSC2021,20,Girls,15-18,50,Meters,Back,True
ML@HSC202122,ML@HSC2021,22,Girls,8&U,25,Meters,Breast,True
ML@HSC202124,ML@HSC2021,24,Girls,9-10,50,Meters,Breast,True
ML@HSC202126,ML@HSC2021,26,Girls,11-12,50,Meters,Breast,True
ML@HSC202128,ML@HSC2021,28,Girls,13-14,50,Meters,Breast,True
ML@HSC202130,ML@HSC2021,30,Girls,15-18,50,Meters,Breast,True
ML@HSC202132,ML@HSC2021,32,Girls,8&U,25,Meters,Fly,True
ML@HSC202134,ML@HSC2021,34,Girls,9-10,25,Meters,Fly,True
ML@HSC202136,ML@HSC2021,36,Girls,11-12,50,Meters,Fly,True
ML@HSC202138,ML@HSC2021,38,Girls,13-14,50,Meters,Fly,True
ML@HSC202140,ML@HSC2021,40,Girls,15-18,50,Meters,Fly,True
ML@HSC202142,ML@HSC2021,42,Girls,8&U,100,Meters,Free,False
ML@HSC202152,ML@HSC2021,52,Girls,Age,200,Meters,Free,False
ML@HSC202144,ML@HSC2021,44,Girls,9-10,100,Meters,Medley,False
ML@HSC202146,ML@HSC2021,46,Girls,11-12,100,Meters,Medley,False
ML@HSC202148,ML@HSC2021,48,Girls,13-14,100,Meters,Medley,False
ML@HSC202150,ML@HSC2021,50,Girls,15-18,200,Meters,Medley,False
